Entity,Code,Year,Wheat (tonnes per hectare),Rice (tonnes per hectare),Maize (tonnes per hectare),Soybeans (tonnes per hectare),Potatoes (tonnes per hectare),Beans (tonnes per hectare),Peas (tonnes per hectare),Cassava (tonnes per hectare),Barley (tonnes per hectare),Cocoa beans (tonnes per hectare),Bananas (tonnes per hectare)
Angola,AGO,1969,0.943,1.063,0.9,0,6.2963,0.5292,0,3.5333,0,0.15,8.3333
Angola,AGO,1970,0.8546,1.198,0.912,0,6.2963,0.625,0,3.5556,0,0.1113,10
Angola,AGO,1971,0.913,1.2632,0.7776,0,6.2963,0.5833,0,3.5556,0,0.2457,10
Angola,AGO,1972,1.1592,0.9249,0.7547,0,6.2963,0.5833,0,3.5556,0,0.2857,8.3333
Angola,AGO,1973,0.8867,1.3205,0.7288,0,6.4815,0.6,0,3.6744,0,0.2333,10
Angola,AGO,1974,1.3065,1.1186,0.6667,0,6.4815,0.6,0,3.625,0,0.2381,10.6667
Angola,AGO,1975,1,1.3333,0.75,0,5.9259,0.5833,0,3.5526,0,0.2381,8.3333
Angola,AGO,1976,1,1,0.75,0,6.4815,0.5833,0,3.6111,0,0.1429,10
Angola,AGO,1977,0.7692,1,0.5833,0,7.2727,0.5417,0,3.6111,0,0.1429,9.3333
Angola,AGO,1978,0.5882,1,0.6667,0,6.3636,0.3636,0,3.6111,0,0.1053,10
Angola,AGO,1979,0.5333,0.9286,0.5,0,7.2727,0.3985,0,3.3824,0,0.1053,10
Angola,AGO,1980,0.5833,0.9167,0.6,0,7.2727,0.3925,0,3.3824,0,0.1053,9.3333
Angola,AGO,1981,0.6316,0.9091,0.4167,0,7.2727,0.3636,0,3.3824,0,0.1053,9.1667
Angola,AGO,1982,0.625,0.9091,0.4167,0,7.2727,0.3333,0,3.4118,0,0.1053,9.1667
Angola,AGO,1983,0.625,0.8889,0.4583,0,7.2727,0.3077,0,3.3714,0,0.1053,9.3333
Angola,AGO,1984,0.625,0.8889,0.4333,0,7.2727,0.2857,0,3.4324,0,0.0556,9.1667
Angola,AGO,1985,0.625,0.8333,0.4167,0,7.2727,0.2857,0,3.425,0,0.0556,9
Angola,AGO,1986,0.8,0.8333,0.35,0,7.2727,0.2733,0,3.4878,0,0.0556,9.1667
Angola,AGO,1987,0.8,0.6667,0.3529,0,7.2727,0.2733,0,3.5,0,0.0556,9.3333
Angola,AGO,1988,0.8,0.6667,0.3,0,7.2727,0.2727,0,3.75,0,0.0556,9.3333
Angola,AGO,1989,0.8,0.75,0.2358,0,4,0.2727,0,4,0,0.0556,9.1667
Angola,AGO,1990,0.7995,0.9512,0.2736,0,4,0.2727,0,4.1177,0,0.0522,10.2191
Angola,AGO,1991,0.8,1,0.4013,0,4,0.2727,0,4.0295,0,0.0798,4.4256
Angola,AGO,1992,0.8,0.9142,0.3778,0,4,0.2667,0,4.2295,0,0.0909,5.3719
Angola,AGO,1993,0.8862,0.8,0.2627,0,7,0.3913,0,4.2295,0,0.0773,6.6658
Angola,AGO,1994,1,0.875,0.2463,0,9,0.5192,0,5.8596,0,0.0769,8.5177
Angola,AGO,1995,1.1865,1.4615,0.3517,0,7.6942,0.4,0,5.1,0,0.0768,9.6774
Angola,AGO,1996,1.3758,1.75,0.6993,0,7,0.3535,0,4.8077,0,0.0772,9.4193
Angola,AGO,1997,1.5529,2,0.5959,0,6.8571,0.3759,0,4.4205,0,0.0719,9.7277
Angola,AGO,1998,1.7143,2,0.7396,0,6.2872,0.4023,0,5.5728,0,0.0787,9.6875
Angola,AGO,1999,1.7391,1.4235,0.6361,0,5.4597,0.3563,0,5.9821,0,0.0667,9.6667
Angola,AGO,2000,1.7025,1.3454,0.5745,0.2333,2.9885,0.3855,0,8.2992,0,0.0909,9.6774
Angola,AGO,2001,1.6667,1.3701,0.5754,0.25,4.2552,0.4004,0,9.4072,0,0.0955,12.2807
Angola,AGO,2002,1.5485,1.3198,0.6706,0.2857,4.2754,0.3793,0,11.0071,0,0.0905,15
